,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
39,54.609292364120485,1.0765739521577828,0.0630958080291748,0.006756978558770485,0.3,0.01,"{'learning_rate': 0.3, 'reg_lambda': 0.01}",0.956140350877193,0.9385964912280702,0.9380530973451328,0.911504424778761,0.9292035398230089,0.9346995808104331,0.014521434742313297,11
40,54.90773949623108,0.40436721564200245,0.06839008331298828,0.005345146406501673,0.3,0.1,"{'learning_rate': 0.3, 'reg_lambda': 0.1}",0.956140350877193,0.9385964912280702,0.9292035398230089,0.911504424778761,0.9292035398230089,0.9329296693060083,0.014544124549767765,20
41,55.45531344413757,0.551619601984156,0.06808109283447265,0.0035621533718715433,0.3,1.0,"{'learning_rate': 0.3, 'reg_lambda': 1.0}",0.956140350877193,0.9385964912280702,0.9292035398230089,0.9469026548672567,0.9203539823008849,0.9382394038192826,0.012626626443811236,5
42,53.76963815689087,1.128019267097107,0.07266068458557129,0.008238907909091658,0.35,0.0,"{'learning_rate': 0.35, 'reg_lambda': 0.0}",0.9473684210526315,0.956140350877193,0.9292035398230089,0.9203539823008849,0.9292035398230089,0.9364539667753455,0.013198681094993166,8
43,54.23386101722717,0.9399166942626492,0.06932573318481446,0.01319916984074725,0.35,1e-05,"{'learning_rate': 0.35, 'reg_lambda': 1e-05}",0.9473684210526315,0.956140350877193,0.9292035398230089,0.9203539823008849,0.9292035398230089,0.9364539667753455,0.013198681094993166,8
44,54.02297191619873,0.44653465162589745,0.06181216239929199,0.004398264637610737,0.35,0.0001,"{'learning_rate': 0.35, 'reg_lambda': 0.0001}",0.9473684210526315,0.956140350877193,0.9292035398230089,0.9203539823008849,0.9292035398230089,0.9364539667753455,0.013198681094993166,8
45,53.822203922271726,0.9881001887011343,0.06475496292114258,0.004517172550483453,0.35,0.001,"{'learning_rate': 0.35, 'reg_lambda': 0.001}",0.9473684210526315,0.956140350877193,0.9292035398230089,0.911504424778761,0.9292035398230089,0.9346840552709207,0.015611746381046765,15
46,54.234506368637085,0.9080703817401358,0.06876068115234375,0.00446972880177331,0.35,0.01,"{'learning_rate': 0.35, 'reg_lambda': 0.01}",0.9385964912280702,0.9298245614035088,0.9380530973451328,0.911504424778761,0.9292035398230089,0.9294364229156964,0.00979709521147867,28
47,54.51077489852905,0.5007624840508427,0.08319668769836426,0.029904970667944862,0.35,0.1,"{'learning_rate': 0.35, 'reg_lambda': 0.1}",0.956140350877193,0.9298245614035088,0.9380530973451328,0.911504424778761,0.9203539823008849,0.931175283341096,0.015339013039246986,24
48,54.69056091308594,0.6049580665391061,0.06407318115234376,0.009689667755945031,0.35,1.0,"{'learning_rate': 0.35, 'reg_lambda': 1.0}",0.956140350877193,0.9385964912280702,0.9292035398230089,0.9203539823008849,0.9380530973451328,0.936469492314858,0.011886785389434594,6
